Label,x,y,width,height,points
Apple Pie,236,259.5,454,411,"[[9, 131], [9, 360], [10, 368], [26, 396], [21, 402], [20, 413], [11, 423], [12, 465], [95, 463], [117, 452], [289, 402], [354, 380], [373, 370], [384, 369], [398, 352], [409, 316], [445, 273], [453, 257], [463, 219], [463, 209], [456, 202], [443, 201], [426, 179], [399, 156], [382, 147], [364, 128], [334, 115], [293, 86], [265, 78], [242, 60], [212, 61], [194, 54], [135, 60], [109, 72], [88, 100], [55, 94], [36, 99], [16, 115]]"
Apple Pie,304.5,304,413,414,"[[98, 240], [98, 350], [125, 456], [135, 474], [153, 491], [149, 511], [174, 511], [172, 504], [164, 496], [175, 488], [254, 482], [355, 456], [511, 383], [511, 199], [496, 171], [424, 97], [399, 97], [363, 110], [264, 159], [189, 187], [140, 218], [104, 233]]"
Apple Pie,255.5,255.833,511,510.334,"[[3.49, 206.43], [233.29, 1.003], [340.319, 0.666], [418.752, 32.642], [427.887, 23.054], [511, 32.774], [511, 328.339], [417.705, 511], [296.833, 448.551], [348.938, 411.053], [340.413, 361.65], [353.286, 245.028], [345.168, 228.695], [35.595, 277.349], [0, 238.249]]"
Apple Pie,255.5,301.011,511,414.948,"[[413.636, 508.485], [511, 290.48], [510.829, 221.973], [473.916, 188.496], [366.589, 201.267], [235.175, 165.611], [213.053, 135.962], [140.971, 129.183], [108.88, 107.786], [41.288, 108.885], [16.651, 96.924], [0, 93.537], [0.701, 179.694], [23.405, 188.458], [250.538, 414.795]]"
Apple Pie,338.9548,376.207,122.2835,139.5351,"[[284.545, 347.576], [277.813, 442.976], [293.376, 445.975], [398.122, 412.256], [400.096, 390.698], [387.821, 326.179], [368.792, 310.636], [361.849, 306.439]]"
Apple Pie,256.9325,281.5525,508.135,453.409,"[[318.182, 54.848], [377.316, 103.025], [438.174, 178.591], [487.674, 254.611], [474.286, 290.414], [485.534, 355.828], [511, 390.328], [509.076, 463.596], [465.373, 444.885], [431.619, 502.72], [424.515, 508.257], [390.932, 476.083], [370.345, 416.254], [317.875, 393.54], [181.507, 347.107], [150.789, 350.617], [73, 298.301], [57.855, 307.008], [30.926, 267.231], [47.336, 253.086], [39.616, 224.834], [21.25, 198.122], [5.863, 197.037], [2.865, 107.539], [78.807, 84.133], [89.33, 96.08], [141.748, 96.758], [217.292, 72.305], [320.759, 55.905]]"
Apple Pie,299,249.5,276,457,"[[167, 295], [167, 306], [175, 319], [175, 342], [173, 362], [161, 388], [161, 411], [180, 435], [222, 468], [268, 478], [311, 476], [377, 461], [417, 442], [433, 412], [433, 391], [424, 366], [386, 326], [383, 318], [383, 306], [393, 299], [387, 271], [390, 234], [383, 188], [371, 168], [382, 154], [419, 126], [435, 91], [437, 68], [433, 50], [416, 21], [350, 21], [319, 34], [300, 53], [277, 91], [276, 118], [272, 129], [273, 152], [252, 173], [243, 175], [218, 204], [206, 240], [191, 256], [186, 270], [173, 282]]"
Apple Pie,256.2855,216.8755,508.935,338.833,"[[1.818, 315.758], [155.568, 356.103], [330.297, 377.945], [472.533, 386.292], [510.696, 327.188], [510.753, 127.885], [447.977, 76.436], [443.682, 60.77], [422.346, 64.588], [397.198, 47.459], [289.606, 104.062], [253.371, 113.347], [233.389, 129.95], [186.508, 124.034], [168.345, 112.717], [2.467, 127.468]]"
Apple Pie,255.5,156.9924,511,311.7885,"[[0.667, 257.556], [98.611, 305.748], [214.521, 312.887], [358.521, 251.195], [381.138, 231.72], [377.002, 190.972], [428.396, 158.019], [511, 171.682], [511, 4.659], [171.511, 1.098], [102.897, 52.442], [62.985, 82.181], [48.662, 122.728], [18.022, 142.15], [5.627, 137.221], [0, 144.325]]"
Apple Pie,255.5,264,511,494,"[[6, 110], [0, 115], [0, 211], [10, 227], [14, 358], [21, 370], [44, 380], [70, 378], [84, 371], [123, 329], [143, 333], [195, 306], [219, 304], [226, 311], [248, 307], [280, 307], [289, 311], [319, 307], [342, 326], [350, 351], [361, 360], [371, 384], [374, 407], [396, 445], [381, 460], [388, 481], [406, 476], [438, 479], [452, 493], [458, 511], [477, 511], [497, 493], [511, 493], [511, 53], [447, 32], [366, 17], [228, 18], [169, 28], [105, 51], [62, 72], [38, 87], [26, 101]]"
Apple Pie,251.5,256.5,503,463,"[[12, 76], [0, 82], [0, 117], [7, 133], [25, 151], [68, 213], [78, 242], [95, 265], [97, 278], [113, 284], [134, 311], [148, 338], [166, 350], [173, 376], [181, 388], [209, 387], [265, 440], [280, 436], [292, 416], [305, 418], [339, 446], [353, 480], [362, 487], [372, 488], [392, 488], [401, 484], [440, 450], [459, 443], [477, 416], [488, 408], [502, 364], [503, 343], [467, 180], [447, 160], [429, 124], [405, 98], [402, 89], [405, 69], [398, 51], [388, 38], [309, 25], [221, 25], [167, 31], [115, 47], [70, 53]]"
Apple Pie,255.1205,258.584,510.241,394.348,"[[95.455, 455.758], [272.826, 330.191], [482.095, 360.125], [510.241, 290.111], [505.989, 186.648], [418.652, 98.193], [314.328, 61.41], [191.121, 66.194], [113.157, 101.954], [27.937, 182.418], [0.814, 242.821], [0, 330.622], [14.018, 402.043]]"
Apple Pie,244,181,390,308,"[[49, 149], [49, 220], [63, 247], [68, 267], [90, 288], [134, 317], [155, 326], [184, 327], [196, 335], [293, 328], [308, 317], [343, 310], [367, 294], [387, 287], [398, 267], [417, 253], [423, 219], [439, 185], [426, 140], [410, 115], [371, 72], [315, 37], [292, 29], [272, 27], [243, 28], [192, 38], [116, 71], [97, 83], [71, 110], [68, 119], [54, 135]]"
Apple Pie,258.995,227.889,504.01,245.342,"[[12.727, 240.303], [334.967, 153.318], [370.283, 115.569], [426.31, 105.218], [497.45, 203.977], [511, 297.302], [497.26, 311.375], [457.137, 350.56], [413.608, 348.069], [380.002, 331.56], [381.029, 316.094], [340.807, 303.232], [306.731, 283.844], [277.931, 278.372], [258.656, 260.675], [208.099, 266.113], [194.27, 274.128], [137.585, 246.463], [94.947, 250.045], [52.967, 285.487], [30.409, 273.91], [6.99, 246.217]]"
Apple Pie,245.3765,267.7475,277.283,232.383,"[[221.818, 383.939], [264.022, 365.539], [268.332, 341.517], [384.018, 174.493], [374.669, 151.556], [203.425, 184.469], [146.678, 227.439], [134.682, 254.478], [106.735, 265.71], [123.87, 318.045], [148.321, 325.009], [155.113, 349.367], [178.727, 352.114]]"
Apple Pie,159.4035,134.7995,262.421,196.461,"[[94.545, 233.03], [282.511, 227.245], [290.614, 216.085], [211.964, 50.623], [168.682, 36.569], [147.583, 55.361], [90.637, 67.416], [77.282, 97.501], [55.164, 120.945], [48.799, 147.217], [28.193, 173.186]]"
Apple Pie,245.1364,239.0364,275.7273,309.8059,"[[107.273, 393.939], [333.761, 252.522], [383, 287.448], [383, 231.205], [365.43, 224.171], [371.18, 186.923], [349.645, 173.38], [354.831, 160.343], [268.328, 130.609], [240.85, 164.469], [238.865, 123.669], [205.065, 86.227], [129.62, 84.133], [218.534, 198.837], [128.72, 324.961]]"
Apple Pie,255.5,255.5,511,511,"[[52, 33], [22, 67], [0, 79], [0, 426], [12, 439], [58, 469], [125, 495], [169, 505], [242, 511], [314, 506], [365, 497], [444, 455], [480, 423], [500, 380], [511, 337], [511, 97], [473, 35], [465, 0], [98, 0]]"
Apple Pie,191,269.5,364,419,"[[12, 289], [14, 321], [9, 368], [46, 429], [88, 454], [187, 479], [248, 473], [257, 467], [279, 464], [292, 457], [331, 423], [347, 403], [367, 358], [373, 321], [373, 295], [367, 279], [342, 240], [294, 201], [266, 192], [265, 183], [281, 177], [301, 163], [307, 130], [303, 105], [282, 83], [215, 60], [127, 68], [83, 90], [68, 104], [59, 118], [65, 150], [83, 176], [108, 184], [113, 192], [56, 224], [43, 245], [18, 269]]"
Apple Pie,303.7375,151.075,186.655,215.238,"[[265.455, 257.576], [397.065, 79.927], [384.955, 56.071], [323.307, 52.911], [285.68, 43.456], [247.503, 44.792], [210.41, 52.66], [212.688, 102.442], [250.581, 258.694]]"
Apple Pie,221,219,326,336,"[[85, 211], [83, 228], [96, 240], [92, 259], [58, 285], [59, 294], [67, 302], [70, 332], [88, 363], [105, 376], [123, 384], [156, 387], [161, 380], [215, 381], [223, 377], [231, 362], [249, 344], [241, 322], [261, 317], [310, 316], [330, 310], [360, 313], [357, 304], [344, 293], [344, 279], [373, 265], [346, 252], [342, 248], [342, 238], [371, 215], [382, 212], [384, 206], [373, 193], [375, 168], [367, 149], [351, 135], [348, 126], [349, 89], [344, 74], [330, 63], [315, 61], [306, 52], [282, 51], [280, 59], [266, 74], [240, 66], [212, 68], [184, 84], [175, 108], [146, 130], [131, 155], [123, 155], [108, 166]]"
Apple Pie,275.5,276.5,467,321,"[[81, 284], [75, 330], [42, 401], [47, 429], [56, 437], [67, 436], [85, 425], [131, 408], [161, 402], [183, 391], [210, 389], [241, 368], [375, 343], [380, 339], [407, 337], [419, 332], [434, 319], [445, 317], [455, 307], [459, 285], [505, 223], [509, 203], [477, 173], [441, 171], [339, 142], [295, 140], [242, 121], [198, 116], [194, 119], [186, 152], [176, 169], [163, 179], [149, 181], [132, 201], [126, 220], [104, 233], [92, 255], [90, 272]]"
Apple Pie,267.3381,218.831,388.0696,400.1532,"[[85.455, 215.758], [73.303, 271.674], [80.777, 316.847], [104.286, 359.13], [149.236, 391.47], [205.371, 410.281], [257.32, 416.032], [249.833, 418.908], [336.395, 409.492], [413.842, 371.126], [461.373, 303.604], [456.646, 229.081], [419.189, 193.434], [384.569, 164.562], [362.26, 150.421], [346.172, 97.48], [307.422, 65.547], [275.496, 45.126], [278.816, 37.352], [247.469, 18.754], [227.98, 19.924], [212.967, 36.67], [178.503, 62.823], [170.31, 76.267], [146.597, 100.151], [132.289, 132.619], [118.342, 159.071], [113.7, 179.583], [96.637, 193.462]]"
Apple Pie,239.03,225.9285,465.198,256.021,"[[371.818, 353.939], [408.967, 340.821], [453.196, 282.806], [460.873, 246.904], [471.056, 196.464], [471.629, 159.922], [462.867, 147.146], [442.697, 148.941], [395.919, 131.689], [370.212, 118.553], [330.738, 122.973], [314.991, 123.57], [276.989, 112.992], [262.644, 114.853], [208.18, 111.817], [196.78, 113.049], [132.626, 97.918], [115.572, 109.268], [89.818, 122.186], [66.649, 111.992], [59.995, 116.137], [40.417, 122.954], [42.24, 134.29], [14.335, 126.113], [6.431, 129.6], [13.346, 157.298], [116.259, 228.472], [178.125, 284.27], [234.801, 313.507], [247.73, 339.528], [282.971, 342.995], [293.963, 333.299], [341.058, 336.866], [362.488, 339.016]]"
Apple Pie,300.6145,340.7073,252.4712,335.555,"[[278.182, 508.485], [366.646, 373.966], [394.598, 364.502], [409.853, 347.031], [421.47, 318.817], [426.85, 244.924], [426.85, 220.248], [382.663, 197.558], [323.989, 183.901], [289.033, 175.815], [249.615, 172.93], [218.438, 177.146], [218.75, 202.096], [205.191, 263.872], [205.191, 284.133], [205.191, 300.835], [191.381, 321.683], [174.379, 344.672], [179.271, 410.404], [177.453, 455.832], [226.418, 494.359], [254.72, 503.317]]"
Apple Pie,253,271.5,342,271,"[[82, 249], [83, 278], [95, 286], [108, 303], [109, 332], [125, 357], [143, 370], [212, 397], [268, 407], [298, 406], [323, 400], [370, 371], [392, 343], [408, 307], [420, 290], [424, 274], [424, 251], [417, 231], [402, 218], [389, 194], [370, 175], [327, 152], [256, 136], [199, 146], [156, 160], [129, 174], [100, 201]]"
Apple Pie,256.1818,265.6271,509.6364,490.7459,"[[2.192, 104.669], [1.364, 451.451], [52.849, 491.754], [141.388, 511], [374.792, 511], [463.175, 475.989], [511, 423.549], [511, 123.03], [414.058, 55.01], [362.578, 43.892], [302.971, 23.835], [226.622, 20.254], [155.122, 25.346], [74.104, 46.976], [29.623, 73.205], [3.874, 101.566]]"
Apple Pie,256.4091,234.3767,509.1818,376.6302,"[[1.818, 380.303], [63.931, 414.79], [96.538, 412.536], [96.538, 396.207], [114.355, 417.974], [190.065, 422.692], [205.523, 406.339], [220.924, 416.856], [284.704, 412.962], [299.769, 396.671], [302.44, 385.151], [322.644, 401.332], [370.544, 393.061], [388.877, 379.67], [392.841, 366.288], [402.824, 374.416], [429.597, 374.061], [488.011, 317.6], [490.464, 305.208], [511, 296.951], [511, 147.459], [493.637, 110.77], [442.649, 88.61], [406.125, 68.785], [348.266, 56.417], [294.166, 50.202], [235.265, 46.062], [196.259, 55.228], [147.748, 68.425], [111.977, 76.071], [70.234, 92.04], [36.822, 113.219], [6.772, 132.229], [2.008, 148.07]]"
Apple Pie,390,263.5,190,279,"[[297, 140], [295, 161], [309, 188], [305, 396], [313, 403], [331, 403], [357, 397], [401, 379], [410, 379], [450, 349], [478, 289], [485, 230], [477, 198], [467, 181], [450, 161], [420, 142], [401, 137], [386, 128], [330, 124], [310, 126]]"
Apple Pie,229.97,213.4957,345.2634,181.2924,"[[70, 175.758], [57.338, 228.377], [69.95, 268.32], [97.495, 303.749], [191.708, 304.142], [216.823, 234.19], [248.578, 214.123], [289.179, 214.365], [325.452, 197.842], [354.773, 225.436], [398.496, 177.378], [402.602, 165.407], [366.94, 154.114], [342.559, 127.028], [327.015, 138.117], [257.42, 131.447], [234.048, 122.85], [198.712, 131.717], [156.022, 135.46], [130.983, 158.989], [102.989, 170.467], [74.852, 167.179]]"
Apple Pie,255.5,254.6972,511,509.3944,"[[0, 423.939], [11.262, 431.801], [9.893, 445.941], [42.278, 482.658], [85.333, 506.983], [130.813, 507.627], [511, 509.394], [511, 0.927], [60.469, 0], [0, 97.814]]"
Apple Pie,196.5,228,393,246,"[[10, 177], [8, 193], [0, 205], [0, 292], [5, 305], [27, 327], [48, 338], [124, 351], [204, 347], [282, 326], [332, 300], [366, 277], [384, 254], [393, 230], [390, 142], [365, 127], [323, 121], [305, 109], [290, 105], [250, 112], [215, 113], [175, 105], [168, 111], [113, 124], [92, 148], [77, 149], [70, 145], [46, 149], [22, 163]]"
